seed,framework,feature,importance
1,PyTorch,Age,0.02879032587027035
1,PyTorch,Credit amount,0.027097904652082155
1,PyTorch,Credit history,0.07977998745415203
1,PyTorch,Duration,0.06710510558842159
1,PyTorch,Housing,0.007234873709269379
1,PyTorch,Installment rate in percentage of disposable income,0.04208719758261864
1,PyTorch,Job,0.02860741749283665
1,PyTorch,Number of existing credits at this bank,0.025357048283553552
1,PyTorch,Number of people being liable to provide maintenance for,0.012959365479749812
1,PyTorch,Other debtors / guarantors,0.011331542324581823
1,PyTorch,Other installment plans,0.023337843197000902
1,PyTorch,Present employment since,0.07002409027388035
1,PyTorch,Present residence since,0.011348356066735092
1,PyTorch,Property,0.05422677968619259
1,PyTorch,Purpose,0.07522968442196228
1,PyTorch,SEX,0.02904161016539585
1,PyTorch,Savings account/bonds,0.05227754852443195
1,PyTorch,Status of existing checking account,0.13273119007961456
1,PyTorch,Telephone,0.019591943674559284
1,PyTorch,foreign worker,0.006844817243749274
1,TensorFlow,Age,0.027100692314998013
1,TensorFlow,Credit amount,0.03949454554134718
1,TensorFlow,Credit history,0.06630760838706692
1,TensorFlow,Duration,0.054302297030808404
1,TensorFlow,Housing,0.013244371385608246
1,TensorFlow,Installment rate in percentage of disposable income,0.03291276416093751
1,TensorFlow,Job,0.040966032795950014
1,TensorFlow,Number of existing credits at this bank,0.014649071781459497
1,TensorFlow,Number of people being liable to provide maintenance for,0.010489461900433525
1,TensorFlow,Other debtors / guarantors,0.00747057228988524
1,TensorFlow,Other installment plans,0.033707993726245604
1,TensorFlow,Present employment since,0.08313926569258911
1,TensorFlow,Present residence since,0.01366818807380696
1,TensorFlow,Property,0.033851454702924
1,TensorFlow,Purpose,0.06883378845730106
1,TensorFlow,SEX,0.02904181109275669
1,TensorFlow,Savings account/bonds,0.04409897838031696
1,TensorFlow,Status of existing checking account,0.1262301008721556
1,TensorFlow,Telephone,0.009067131765565364
1,TensorFlow,foreign worker,0.004010142390143301
2,PyTorch,Age,0.026630224726483732
2,PyTorch,Credit amount,0.02307035840486717
2,PyTorch,Credit history,0.0726290403958117
2,PyTorch,Duration,0.0661691428631222
2,PyTorch,Housing,0.011263665192160835
2,PyTorch,Installment rate in percentage of disposable income,0.0391321761539111
2,PyTorch,Job,0.01845688725895862
2,PyTorch,Number of existing credits at this bank,0.0166134548377563
2,PyTorch,Number of people being liable to provide maintenance for,0.011015301768632439
2,PyTorch,Other debtors / guarantors,0.007574185463712956
2,PyTorch,Other installment plans,0.022065927445738487
