seed,framework,feature,importance
1,TensorFlow,PAY_1,0.08697003550850059
1,TensorFlow,LIMIT_BAL,0.05310750268615084
1,TensorFlow,PAY_3,0.02779092102032155
1,TensorFlow,PAY_4,0.023954888321601173
1,TensorFlow,BILL_AMT1,0.022960623035360186
1,TensorFlow,PAY_2,0.02074549835395737
1,TensorFlow,MARRIAGE,0.01604149733812801
1,TensorFlow,PAY_AMT1,0.01566296274218621
1,TensorFlow,BILL_AMT2,0.014581739507280872
1,TensorFlow,BILL_AMT4,0.014451101242750156
1,TensorFlow,BILL_AMT3,0.01417167543451069
1,TensorFlow,PAY_5,0.01407274726322794
1,TensorFlow,PAY_6,0.012410193518682718
1,TensorFlow,EDUCATION,0.011034716698299234
1,TensorFlow,PAY_AMT2,0.01076009357802559
1,TensorFlow,SEX,0.010725122911082508
1,TensorFlow,BILL_AMT5,0.009458372218021396
1,TensorFlow,AGE,0.008814078181110744
1,TensorFlow,PAY_AMT6,0.007181286631815965
1,TensorFlow,PAY_AMT4,0.007063128461035376
1,TensorFlow,PAY_AMT5,0.007051951776854366
1,TensorFlow,PAY_AMT3,0.0069437976174023105
1,TensorFlow,BILL_AMT6,0.005614042284206789
1,PyTorch,PAY_1,0.09187209609875754
1,PyTorch,LIMIT_BAL,0.048418062031341476
1,PyTorch,PAY_3,0.027419560925131217
1,PyTorch,PAY_4,0.025570184943100847
1,PyTorch,PAY_2,0.02005223349269793
1,PyTorch,BILL_AMT2,0.019690530864109143
1,PyTorch,PAY_AMT1,0.01854070946450364
1,PyTorch,BILL_AMT1,0.016987443190057894
1,PyTorch,PAY_5,0.015803408718499713
1,PyTorch,PAY_AMT2,0.012503284260290619
1,PyTorch,MARRIAGE,0.01201073829093207
1,PyTorch,PAY_AMT5,0.011445288717011684
1,PyTorch,BILL_AMT5,0.010386383166630242
1,PyTorch,SEX,0.010177502236684734
1,PyTorch,AGE,0.010087033297736189
1,PyTorch,EDUCATION,0.009640948046463833
1,PyTorch,BILL_AMT3,0.0090003358350934
1,PyTorch,PAY_6,0.008900000711855111
1,PyTorch,PAY_AMT3,0.007526068900557878
1,PyTorch,BILL_AMT6,0.007020936029311236
1,PyTorch,BILL_AMT4,0.0058519805227751935
1,PyTorch,PAY_AMT4,0.005052407132929928
1,PyTorch,PAY_AMT6,0.004912430986799454
2,TensorFlow,PAY_1,0.09469680781156058
2,TensorFlow,LIMIT_BAL,0.05980944451582036
2,TensorFlow,PAY_3,0.026487441367056816
2,TensorFlow,BILL_AMT1,0.024809091404815263
2,TensorFlow,PAY_4,0.0213185460853565
2,TensorFlow,PAY_AMT1,0.016196555454695043
2,TensorFlow,BILL_AMT2,0.015846569637429638
2,TensorFlow,PAY_5,0.015357475275894103
2,TensorFlow,PAY_6,0.013783799545737566
2,TensorFlow,MARRIAGE,0.013492762604163544
2,TensorFlow,EDUCATION,0.01338805812319606
2,TensorFlow,PAY_AMT2,0.012692410425463095
2,TensorFlow,PAY_2,0.012637383567496727
2,TensorFlow,SEX,0.011924073730137024
2,TensorFlow,PAY_AMT5,0.010236218864411057
2,TensorFlow,BILL_AMT5,0.010065439960821095
2,TensorFlow,BILL_AMT6,0.009603111208511109
2,TensorFlow,BILL_AMT3,0.008877936241347925
2,TensorFlow,AGE,0.00848360513933585
2,TensorFlow,BILL_AMT4,0.007677046920925932
2,TensorFlow,PAY_AMT3,0.00689540215800389
2,TensorFlow,PAY_AMT6,0.00645295425753352
2,TensorFlow,PAY_AMT4,0.006280524419745689
2,PyTorch,PAY_1,0.1023874691708278
2,PyTorch,LIMIT_BAL,0.06242346003299339
2,PyTorch,PAY_3,0.028551823199141672
2,PyTorch,PAY_4,0.025168540330019116
2,PyTorch,BILL_AMT1,0.021305342585309917
2,PyTorch,PAY_AMT1,0.019556738652333008
2,PyTorch,PAY_2,0.017895203255923926
2,PyTorch,BILL_AMT3,0.017320149855575093
2,PyTorch,PAY_5,0.01675247074224094
2,PyTorch,PAY_6,0.013643871626477011
2,PyTorch,MARRIAGE,0.013274245449303494
2,PyTorch,PAY_AMT2,0.013273833619524155
2,PyTorch,BILL_AMT2,0.013158104049798714
2,PyTorch,PAY_AMT5,0.011223407352660583
2,PyTorch,EDUCATION,0.010476391416893145
2,PyTorch,SEX,0.009639253389816055
2,PyTorch,BILL_AMT5,0.008902566314367706
2,PyTorch,AGE,0.00854076479280436
2,PyTorch,PAY_AMT6,0.008223671317500623
2,PyTorch,BILL_AMT6,0.008010192661107944
2,PyTorch,PAY_AMT3,0.007085658333044433
2,PyTorch,PAY_AMT4,0.004218281761959623
2,PyTorch,BILL_AMT4,0.0037965202628858913
3,TensorFlow,PAY_1,0.09592231915472076
3,TensorFlow,LIMIT_BAL,0.04763980157350307
3,TensorFlow,PAY_4,0.025376859067157056
3,TensorFlow,PAY_3,0.02524767903810425
3,TensorFlow,PAY_2,0.024079614520735957
3,TensorFlow,BILL_AMT3,0.019629593620481046
3,TensorFlow,BILL_AMT1,0.01719302674465871
3,TensorFlow,MARRIAGE,0.016292690150311158
3,TensorFlow,BILL_AMT2,0.014993095176781936
3,TensorFlow,PAY_6,0.01433733735131682
3,TensorFlow,PAY_5,0.014004515621927567
3,TensorFlow,SEX,0.013502626272995259
3,TensorFlow,PAY_AMT2,0.013065661299590374
3,TensorFlow,PAY_AMT5,0.012105614158563184
3,TensorFlow,EDUCATION,0.010888954827756606
3,TensorFlow,PAY_AMT3,0.010724200822956845
3,TensorFlow,AGE,0.010201288029116767
3,TensorFlow,PAY_AMT1,0.00960520931656356
3,TensorFlow,BILL_AMT5,0.009041981444675912
3,TensorFlow,BILL_AMT6,0.008865318988224317
3,TensorFlow,PAY_AMT6,0.008485424035232426
3,TensorFlow,BILL_AMT4,0.008319112398095968
3,TensorFlow,PAY_AMT4,0.0053526018220381956
3,PyTorch,PAY_1,0.09263435256081892
3,PyTorch,LIMIT_BAL,0.05108851808527849
3,PyTorch,PAY_3,0.02965500858958085
3,PyTorch,PAY_4,0.022137048926746696
3,PyTorch,PAY_5,0.016538618915389394
3,PyTorch,MARRIAGE,0.014931547193700967
3,PyTorch,PAY_AMT1,0.01445828812390744
3,PyTorch,PAY_2,0.014217311721845554
3,PyTorch,SEX,0.013692195552970318
3,PyTorch,PAY_6,0.013555972022165196
3,PyTorch,BILL_AMT3,0.012312334822448562
3,PyTorch,AGE,0.011409119599650706
3,PyTorch,BILL_AMT2,0.011370081545956114
3,PyTorch,BILL_AMT1,0.009939172035803127
3,PyTorch,PAY_AMT2,0.008941186187208915
3,PyTorch,EDUCATION,0.008049317672242706
3,PyTorch,PAY_AMT5,0.007483072384183762
3,PyTorch,BILL_AMT4,0.006283780211573517
3,PyTorch,BILL_AMT6,0.006066992302883009
3,PyTorch,PAY_AMT3,0.005730328637959062
3,PyTorch,PAY_AMT6,0.005231876558367967
3,PyTorch,BILL_AMT5,0.004350574884992413
3,PyTorch,PAY_AMT4,0.0030717269291046776
4,TensorFlow,PAY_1,0.0969156846969272
4,TensorFlow,LIMIT_BAL,0.043654933874633574
4,TensorFlow,PAY_3,0.023215070861406274
4,TensorFlow,BILL_AMT1,0.019760442479531775
4,TensorFlow,PAY_4,0.019638885923603085
4,TensorFlow,MARRIAGE,0.019501234397769168
4,TensorFlow,PAY_2,0.01802463643599913
4,TensorFlow,SEX,0.015497727574707824
4,TensorFlow,PAY_5,0.013873399442112714
4,TensorFlow,PAY_AMT1,0.012480128528907699
4,TensorFlow,BILL_AMT3,0.012091092011465661
4,TensorFlow,BILL_AMT2,0.011405587607747293
4,TensorFlow,PAY_AMT2,0.011106261780703789
4,TensorFlow,PAY_6,0.010159837883729778
4,TensorFlow,PAY_AMT5,0.009389216158224826
4,TensorFlow,EDUCATION,0.009171804408261437
4,TensorFlow,BILL_AMT6,0.00839231150460273
4,TensorFlow,BILL_AMT5,0.0073318346196429044
4,TensorFlow,PAY_AMT3,0.007258696671289726
4,TensorFlow,BILL_AMT4,0.007065621158880276
4,TensorFlow,PAY_AMT6,0.006237249375015381
4,TensorFlow,AGE,0.0054386291075302325
4,TensorFlow,PAY_AMT4,0.004975356009346797
4,PyTorch,PAY_1,0.08577261812239298
4,PyTorch,LIMIT_BAL,0.0510082278533882
4,PyTorch,PAY_3,0.028919510658262274
4,PyTorch,PAY_4,0.021508806490026424
4,PyTorch,PAY_2,0.01984988251997947
4,PyTorch,BILL_AMT1,0.017232846373265692
4,PyTorch,MARRIAGE,0.015104654870822814
4,PyTorch,PAY_6,0.015000898506461424
4,PyTorch,PAY_AMT1,0.013118729401620963
4,PyTorch,PAY_5,0.012467988676356172
4,PyTorch,PAY_AMT5,0.011277400778283788
4,PyTorch,BILL_AMT3,0.010914444140370013
4,PyTorch,PAY_AMT2,0.010612231583280441
4,PyTorch,SEX,0.010542609389347457
4,PyTorch,EDUCATION,0.008339979588969816
4,PyTorch,AGE,0.008308944427360873
4,PyTorch,PAY_AMT3,0.0074792509595317394
4,PyTorch,BILL_AMT2,0.006697168031067892
4,PyTorch,BILL_AMT4,0.006182738054731935
4,PyTorch,PAY_AMT4,0.005800380921145345
4,PyTorch,PAY_AMT6,0.0056982992153475414
4,PyTorch,BILL_AMT5,0.004975353359303699
4,PyTorch,BILL_AMT6,0.004357860187695197
5,TensorFlow,PAY_1,0.09093276446772507
5,TensorFlow,LIMIT_BAL,0.05691708068746084
5,TensorFlow,PAY_3,0.031248026035755175
5,TensorFlow,PAY_4,0.025589166409146855
5,TensorFlow,BILL_AMT2,0.017494740629659646
5,TensorFlow,SEX,0.015547201855573803
5,TensorFlow,PAY_2,0.015155930884589906
5,TensorFlow,MARRIAGE,0.014807000192375085
5,TensorFlow,PAY_AMT1,0.013296090679217741
5,TensorFlow,PAY_5,0.012831599938312137
5,TensorFlow,PAY_AMT2,0.012794391809002263
5,TensorFlow,BILL_AMT3,0.01156705909125867
5,TensorFlow,EDUCATION,0.010275721508968445
5,TensorFlow,PAY_6,0.009971828143839958
5,TensorFlow,PAY_AMT5,0.009956539769755182
5,TensorFlow,BILL_AMT1,0.009480163365540648
5,TensorFlow,BILL_AMT4,0.008632289523178769
5,TensorFlow,BILL_AMT5,0.008016220097621499
5,TensorFlow,PAY_AMT3,0.007975719390599807
5,TensorFlow,AGE,0.006407699154678994
5,TensorFlow,PAY_AMT6,0.005547438418521779
5,TensorFlow,BILL_AMT6,0.0043323469128559965
5,TensorFlow,PAY_AMT4,0.003177733506394361
5,PyTorch,PAY_1,0.09824357721597861
5,PyTorch,LIMIT_BAL,0.06206129553469709
5,PyTorch,PAY_3,0.02984214421005432
5,PyTorch,PAY_4,0.027202479635873893
5,PyTorch,PAY_AMT1,0.021859401830999783
5,PyTorch,BILL_AMT1,0.021222148260708843
5,PyTorch,BILL_AMT2,0.02082144619937418
5,PyTorch,PAY_5,0.018903384820407272
5,PyTorch,PAY_2,0.018059721645753726
5,PyTorch,BILL_AMT3,0.01691751480265199
5,PyTorch,PAY_AMT2,0.014015246555805447
5,PyTorch,PAY_6,0.013397185511285905
5,PyTorch,MARRIAGE,0.012338215924430357
5,PyTorch,PAY_AMT3,0.011869362635086774
5,PyTorch,EDUCATION,0.011153550783217933
5,PyTorch,SEX,0.011046861638722975
5,PyTorch,BILL_AMT6,0.010329775962566796
5,PyTorch,PAY_AMT5,0.010034693192743914
5,PyTorch,PAY_AMT6,0.009347475966583993
5,PyTorch,AGE,0.009225738188991412
5,PyTorch,BILL_AMT5,0.00736707853478173
5,PyTorch,BILL_AMT4,0.0047182730681060246
5,PyTorch,PAY_AMT4,0.003940134061967514
6,TensorFlow,PAY_1,0.09505731600883882
6,TensorFlow,LIMIT_BAL,0.04981828126864275
6,TensorFlow,PAY_4,0.026894516788583133
6,TensorFlow,PAY_3,0.025860709265456534
6,TensorFlow,MARRIAGE,0.01930233580735694
6,TensorFlow,PAY_2,0.01797830619400338
6,TensorFlow,BILL_AMT3,0.017753804210551605
6,TensorFlow,PAY_5,0.016508621255525213
6,TensorFlow,BILL_AMT1,0.01579557511594612
6,TensorFlow,PAY_AMT2,0.015552967524778069
6,TensorFlow,PAY_AMT1,0.014056306901205972
6,TensorFlow,SEX,0.012353694809949956
6,TensorFlow,BILL_AMT2,0.012333175238651165
6,TensorFlow,PAY_6,0.011902285851438592
6,TensorFlow,AGE,0.010908939898974495
6,TensorFlow,PAY_AMT5,0.009947270515180207
6,TensorFlow,EDUCATION,0.009300517018567007
6,TensorFlow,BILL_AMT4,0.008942688095528865
6,TensorFlow,BILL_AMT5,0.008746949101621795
6,TensorFlow,PAY_AMT6,0.007860662672430407
6,TensorFlow,PAY_AMT3,0.006761659258689178
6,TensorFlow,BILL_AMT6,0.0063897512671428555
6,TensorFlow,PAY_AMT4,0.004995513252046294
6,PyTorch,PAY_1,0.0980189889378046
6,PyTorch,LIMIT_BAL,0.05665970214759592
6,PyTorch,PAY_3,0.03166012085614785
6,PyTorch,PAY_4,0.022777935477294127
6,PyTorch,PAY_2,0.01946810029621058
6,PyTorch,PAY_AMT1,0.016688056818766124
6,PyTorch,PAY_5,0.01603931433009824
6,PyTorch,MARRIAGE,0.015968031007152255
6,PyTorch,BILL_AMT2,0.015418317665016269
6,PyTorch,BILL_AMT1,0.014436491825069024
6,PyTorch,PAY_AMT2,0.013211224327568112
6,PyTorch,PAY_AMT5,0.012389398511308764
6,PyTorch,SEX,0.012192721767331294
6,PyTorch,EDUCATION,0.011744584594764167
6,PyTorch,PAY_6,0.01134041108734639
6,PyTorch,BILL_AMT4,0.009952472622765178
6,PyTorch,AGE,0.009708664684912124
6,PyTorch,BILL_AMT3,0.008848186442308508
6,PyTorch,PAY_AMT3,0.007608954521176946
6,PyTorch,PAY_AMT6,0.006566500141258897
6,PyTorch,BILL_AMT6,0.00562531890610164
6,PyTorch,BILL_AMT5,0.004809250287337155
