seed,framework,test_auc,epochs,final_val_loss,train_seconds
1,TensorFlow,0.7720124475272094,46,0.5346558690071106,20.883493370999986
1,PyTorch,0.7745321735551811,41,0.5763381719589233,15.143964273000051
2,TensorFlow,0.772214186871913,50,0.5303670763969421,24.15983054600008
2,PyTorch,0.7730693617279983,50,0.5754286050796509,20.85982272600006
3,TensorFlow,0.773672967137451,43,0.5701087117195129,21.912550928999963
3,PyTorch,0.7726486279547518,26,0.5778130292892456,11.108043308999981
4,TensorFlow,0.7685153096940835,26,0.5592114329338074,12.947772505999978
4,PyTorch,0.7708391018261199,33,0.5767501592636108,16.252914976999932
5,TensorFlow,0.7720848543743491,50,0.5144354104995728,24.005703273999984
5,PyTorch,0.7738439053511885,50,0.5745862126350403,20.819211452000104
6,TensorFlow,0.7717134669156345,38,0.5613380074501038,19.791098162999788
6,PyTorch,0.7735976575659269,40,0.5777995586395264,15.693123531999845
7,TensorFlow,0.7698173428428735,42,0.5390798449516296,22.68200520000005
7,PyTorch,0.7755633663926764,45,0.5765292644500732,19.054364451000083
8,TensorFlow,0.769884669922341,37,0.54191654920578,17.879763323999896
8,PyTorch,0.7735124303527569,43,0.5750657320022583,18.166370795000148
9,TensorFlow,0.7690842436733913,50,0.5434384942054749,23.850917035000066
9,PyTorch,0.7719193184532155,43,0.5753262042999268,19.989629442000023
10,TensorFlow,0.7715747811950548,33,0.5402840971946716,15.745206590999942
10,PyTorch,0.7723652898023583,48,0.5770407319068909,19.554635178000126
